Champion,,Best Partner,Counters ,Countered by
Renata Glasc,,Malzahar+9.7%,Yuumi+9.1%,Blitzcrank-5.5%
Support,,,,
Renekton,48.80%,Cassiopeia,Riven,Garen
Renekton,,Cassiopeia+8.9%,Riven+6.2%,Garen-8.8%
Top,,,,
Rengar,50.40%,Swain,K'Sante,Master Yi
Rengar,,Swain+8.6%,K'Sante+6.6%,Master Yi-7.3%
"Jungler, Top",,,,
Riven,48.60%,Janna,Yone,Olaf
Riven,,Janna+9.5%,Yone+8.3%,Olaf-8.3%
Top,,,,
Rumble,49.80%,Nidalee,Yone,Gangplank
Rumble,,Nidalee+10.0%,Yone+6.7%,Gangplank-4.1%
"Mid, Top",,,,
Ryze,48.10%,Fiddlesticks,Sylas,Galio
Ryze,,Fiddlesticks+9.9%,Sylas+7.1%,Galio-8.2%
Mid,,,,
Samira,51.50%,Vel'Koz,Aphelios,Nilah
Samira,,Vel'Koz+6.3%,Aphelios+5.5%,Nilah-7.0%
AD Carry,,,,
Sejuani,50.40%,Olaf,Viego,Zac
Sejuani,,Olaf+8.8%,Viego+7.1%,Zac-6.8%
Jungler,,,,
Senna,50.20%,Shen,Yuumi,Bard
Senna,,Shen+8.4%,Yuumi+8.0%,Bard-6.6%
Support,,,,
Seraphine,51.00%,Vladimir,Jhin,Ashe
Seraphine,,Vladimir+5.2%,Jhin+5.6%,Ashe-5.2%
"Support, AD Carry",,,,
Sett,49.80%,Maokai,K'Sante,Shen
Sett,,Maokai+6.7%,K'Sante+5.4%,Shen-6.2%
Top,,,,
Shaco,49.90%,Sona,Sejuani,Gragas
Shaco,,Sona+8.8%,Sejuani+4.3%,Gragas-5.2%
Jungler,,,,
Shen,52.40%,Lillia,Irelia,Olaf
Shen,,Lillia+9.5%,Irelia+6.5%,Olaf-6.6%
Top,,,,
Shyvana,49.90%,Zed,Elise,Maokai
Shyvana,,Zed+5.0%,Elise-0.2%,Maokai-9.6%
Jungler,,,,
Singed,52.80%,Vi,Jax,Camille
Singed,,Vi+5.5%,Jax+2.1%,Camille-3.5%
"Top, Mid",,,,
Sion,50.60%,Gangplank,Malphite,Darius
Sion,,Gangplank+8.6%,Malphite+7.8%,Darius-5.9%
Top,,,,
Sivir,49.60%,Taliyah,Aphelios,Twitch
Sivir,,Taliyah+7.1%,Aphelios+6.0%,Twitch-6.3%
AD Carry,,,,
Skarner,50.70%,Caitlyn,-,-
Skarner,,Caitlyn-0.7%,,
"Jungler, Top",,,,
Sona,52.80%,Akshan,Yuumi,Blitzcrank
Sona,,Akshan+6.5%,Yuumi+6.8%,Blitzcrank-7.0%
Support,,,,
Soraka,51.00%,Urgot,Yuumi,Rakan
Soraka,,Urgot+10.2%,Yuumi+6.4%,Rakan-5.6%
Support,,,,
Swain,50.70%,Warwick,Ryze,Zed
Swain,,Warwick+7.5%,Ryze+7.7%,Zed-5.8%
"Support, Mid",,,,
Sylas,49.10%,Lillia,Ekko,Pantheon
Sylas,,Lillia+9.1%,Ekko+8.7%,Pantheon-7.1%
"Jungler, Mid",,,,
Syndra,48.60%,Warwick,Ryze,Kassadin
Syndra,,Warwick+7.5%,Ryze+5.6%,Kassadin-6.1%
Mid,,,,
Tahm Kench,50.10%,Wukong,Darius,Gangplank
Tahm Kench,,Wukong+4.4%,Darius+0.3%,Gangplank-4.6%
"Top, Support",,,,
Taliyah,51.10%,Graves,Sylas,Elise
Taliyah,,Graves+6.7%,Sylas+2.4%,Elise-3.1%
"Mid, Jungler",,,,
Talon,49.60%,Karthus,Ryze,Akshan
Talon,,Karthus+7.8%,Ryze+8.0%,Akshan-8.6%
"Mid, Jungler",,,,
Taric,52.10%,Zac,Nautilus,Karma
Taric,,Zac+11.1%,Nautilus+4.6%,Karma-4.4%
Support,,,,
Teemo,48.90%,Blitzcrank,Illaoi,Gangplank
Teemo,,Blitzcrank+7.4%,Illaoi+9.1%,Gangplank-3.9%
Top,,,,
Thresh,49.40%,Cassiopeia,Yuumi,Heimerdinger
Thresh,,Cassiopeia+5.9%,Yuumi+12.0%,Heimerdinger-5.4%
Support,,,,
Tristana,50.90%,Lillia,Ryze,Nilah
Tristana,,Lillia+7.3%,Ryze+5.9%,Nilah-13.4%
"AD Carry, Mid",,,,
Trundle,47.60%,Samira,Sejuani,Zac
Trundle,,Samira+3.6%,Sejuani-0.4%,Zac-1.4%
"Jungler, Top",,,,
Tryndamere,48.30%,Anivia,Irelia,Jax
Tryndamere,,Anivia+6.3%,Irelia+6.6%,Jax-4.4%
Top,,,,
Twisted Fate,49.30%,Maokai,Akali,Anivia
Twisted Fate,,Maokai+8.3%,Akali+7.8%,Anivia-6.0%
Mid,,,,
